,De standaard,Trouw,De Volkskrant,Het volk,Het volk : dagblad voor de arbeiderspartij,Het vrÄ³e volk : democratisch-socialistisch dagblad,De Telegraaf
1870-01-01 1870-12-31,0,0,0,0,0,0,0
1871-01-01 1871-12-31,0,0,0,0,0,0,0
1872-01-01 1872-12-31,6124,0,0,0,0,0,0
1873-01-01 1873-12-31,9068,0,0,0,0,0,0
1874-01-01 1874-12-31,9886,0,0,0,0,0,0
1875-01-01 1875-12-31,5501,0,0,0,0,0,0
1876-01-01 1876-12-31,11449,0,0,0,0,0,0
1877-01-01 1877-12-31,14065,0,0,0,0,0,0
1878-01-01 1878-12-31,13724,0,0,0,0,0,0
1879-01-01 1879-12-31,14509,0,0,0,0,0,0
1880-01-01 1880-12-31,14325,0,0,0,0,0,0
1881-01-01 1881-12-31,11660,0,0,0,0,0,0
1882-01-01 1882-12-31,10964,0,0,0,0,0,0
1883-01-01 1883-12-31,11573,0,0,0,0,0,0
1884-01-01 1884-12-31,12037,0,0,0,0,0,0
1885-01-01 1885-12-31,7967,0,0,0,0,0,0
1886-01-01 1886-12-31,8583,0,0,0,0,0,0
1887-01-01 1887-12-31,5922,0,0,0,0,0,0
1888-01-01 1888-12-31,11406,0,0,0,0,0,0
1889-01-01 1889-12-31,4950,0,0,0,0,0,0
1890-01-01 1890-12-31,6728,0,0,0,0,0,0
1891-01-01 1891-12-31,6022,0,0,0,0,0,0
1892-01-01 1892-12-31,5474,0,0,0,0,0,0
1893-01-01 1893-12-31,5390,0,0,0,0,0,26172
1894-01-01 1894-12-31,5175,0,0,0,0,0,47893
1895-01-01 1895-12-31,5581,0,0,0,0,0,50916
1896-01-01 1896-12-31,5249,0,0,0,0,0,52374
1897-01-01 1897-12-31,5615,0,0,0,0,0,51296
1898-01-01 1898-12-31,5529,0,0,0,0,0,51535
1899-01-01 1899-12-31,5219,0,0,0,0,0,50129
1900-01-01 1900-12-31,5741,0,0,0,0,0,45091
1901-01-01 1901-12-31,6136,0,0,0,0,0,67066
1902-01-01 1902-12-31,5576,0,0,0,0,0,69916
1903-01-01 1903-12-31,6371,0,0,0,0,0,74576
1904-01-01 1904-12-31,7691,0,0,0,0,0,86896
1905-01-01 1905-12-31,8557,0,0,0,0,0,70875
1906-01-01 1906-12-31,8567,0,0,0,0,0,96942
1907-01-01 1907-12-31,8092,0,0,0,0,0,114781
1908-01-01 1908-12-31,10494,0,0,0,0,0,99579
1909-01-01 1909-12-31,9558,0,0,0,1483,0,90872
1910-01-01 1910-12-31,8523,0,0,0,10578,0,100038
1911-01-01 1911-12-31,10073,0,0,0,10848,0,110277
1912-01-01 1912-12-31,9729,0,0,0,11851,0,105455
1913-01-01 1913-12-31,7834,0,0,0,16074,0,114866
1914-01-01 1914-12-31,9246,0,0,0,18375,0,51630
1915-01-01 1915-12-31,9145,0,0,0,18039,0,110327
1916-01-01 1916-12-31,9136,0,0,0,19858,0,142294
1917-01-01 1917-12-31,12590,0,0,0,19399,0,147011
1918-01-01 1918-12-31,19719,0,0,0,21941,0,93053
1919-01-01 1919-12-31,20840,0,492,0,23370,0,160606
1920-01-01 1920-12-31,24168,0,3923,0,6962,0,112437
1921-01-01 1921-12-31,29774,0,6318,0,0,0,145651
1922-01-01 1922-12-31,31707,0,22016,0,0,0,129293
1923-01-01 1923-12-31,32966,0,19543,0,0,0,124342
1924-01-01 1924-12-31,37048,0,20877,0,0,0,130403
1925-01-01 1925-12-31,44777,0,19620,0,0,0,142631
1926-01-01 1926-12-31,41952,0,20550,0,0,0,163880
1927-01-01 1927-12-31,41080,0,22845,0,0,0,131491
1928-01-01 1928-12-31,46036,0,26406,0,0,0,128623
1929-01-01 1929-12-31,47886,0,23698,0,0,0,123606
1930-01-01 1930-12-31,49017,0,22728,0,0,0,136883
1931-01-01 1931-12-31,52248,0,22913,0,0,0,137014
1932-01-01 1932-12-31,56555,0,26155,0,0,0,132995
1933-01-01 1933-12-31,53479,0,15180,0,0,0,155094
1934-01-01 1934-12-31,52662,0,26211,20898,0,0,153599
1935-01-01 1935-12-31,55497,0,29716,15994,0,0,165284
1936-01-01 1936-12-31,56168,0,23139,6933,0,0,148446
1937-01-01 1937-12-31,52964,0,32025,3011,0,0,147242
1938-01-01 1938-12-31,50549,0,27977,9547,0,0,143737
1939-01-01 1939-12-31,49114,0,23868,15040,0,0,139280
1940-01-01 1940-12-31,36525,0,38699,35,0,0,108515
1941-01-01 1941-12-31,33309,0,27137,0,0,0,77571
1942-01-01 1942-12-31,20350,0,0,0,0,0,35326
1943-01-01 1943-12-31,14233,689,0,12255,0,0,23119
1944-01-01 1944-12-31,3440,1412,0,6545,0,0,17872
1945-01-01 1945-12-31,0,9431,4595,0,0,5777,1842
1946-01-01 1946-12-31,280,21826,14497,0,0,13869,0
1947-01-01 1947-12-31,1449,32497,23455,0,0,17269,0
1948-01-01 1948-12-31,0,45654,22215,0,0,19067,0
1949-01-01 1949-12-31,0,35092,29782,0,0,23242,11582
1950-01-01 1950-12-31,0,41508,23507,0,0,28997,41104
1951-01-01 1951-12-31,0,33749,25632,0,0,35493,53142
1952-01-01 1952-12-31,0,32022,36417,0,0,32707,45937
1953-01-01 1953-12-31,0,36166,44131,0,0,35029,54998
1954-01-01 1954-12-31,0,37885,43389,0,0,39924,58022
1955-01-01 1955-12-31,0,39152,42258,0,0,53184,63238
1956-01-01 1956-12-31,0,42912,44156,0,0,44718,62638
1957-01-01 1957-12-31,0,45299,45642,0,0,47867,59403
1958-01-01 1958-12-31,0,46247,46892,0,0,49610,61394
1959-01-01 1959-12-31,0,46824,55148,0,0,46671,61830
1960-01-01 1960-12-31,0,48494,52239,0,0,49827,62816
1961-01-01 1961-12-31,0,47601,60494,0,0,60107,69383
1962-01-01 1962-12-31,0,48195,56715,0,0,58759,70852
1963-01-01 1963-12-31,0,45962,54321,0,0,61117,74392
1964-01-01 1964-12-31,0,47389,55594,0,0,59702,76199
1965-01-01 1965-12-31,0,49001,51919,0,0,65337,76291
1966-01-01 1966-12-31,0,47271,56423,0,0,72903,71985
1967-01-01 1967-12-31,0,50168,46668,0,0,68926,64076
1968-01-01 1968-12-31,0,55333,47743,0,0,68475,66898
1969-01-01 1969-12-31,0,56087,48000,0,0,63098,67229
1970-01-01 1970-12-31,0,55633,42529,0,0,68756,72845
1971-01-01 1971-12-31,0,58716,44030,0,0,63434,69468
1972-01-01 1972-12-31,0,58746,47503,0,0,63653,62626
1973-01-01 1973-12-31,0,58937,45039,0,0,61132,64949
1974-01-01 1974-12-31,0,56744,44405,0,0,62681,66253
1975-01-01 1975-12-31,0,61011,44411,0,0,58578,64766
1976-01-01 1976-12-31,0,60020,49228,0,0,56498,65134
1977-01-01 1977-12-31,0,60803,54458,0,0,61299,67785
1978-01-01 1978-12-31,0,62662,55396,0,0,61772,69525
1979-01-01 1979-12-31,0,61061,52301,0,0,61047,66331
1980-01-01 1980-12-31,0,61253,48460,0,0,67912,68710
1981-01-01 1981-12-31,0,59923,47882,0,0,62285,68943
1982-01-01 1982-12-31,0,64563,49213,0,0,57957,68830
1983-01-01 1983-12-31,0,71948,55064,0,0,65253,75112
1984-01-01 1984-12-31,0,73942,57152,0,0,71419,74986
1985-01-01 1985-12-31,0,73518,60562,0,0,81875,80227
1986-01-01 1986-12-31,0,78279,70518,0,0,86791,80656
1987-01-01 1987-12-31,0,82437,58439,0,0,80554,79479
1988-01-01 1988-12-31,0,81995,57745,0,0,66059,77510
1989-01-01 1989-12-31,0,79847,56682,0,0,65153,83697
1990-01-01 1990-12-31,0,77782,51045,0,0,71030,85861
1991-01-01 1991-12-31,0,71605,53387,0,0,14671,85606
1992-01-01 1992-12-31,0,66770,51667,0,0,0,82223
1993-01-01 1993-12-31,0,63143,48693,0,0,0,75478
1994-01-01 1994-12-31,0,62856,49694,0,0,0,79632
1995-01-01 1995-12-31,0,63929,59908,0,0,0,0
1996-01-01 1996-12-31,0,0,0,0,0,0,0
1997-01-01 1997-12-31,0,0,0,0,0,0,0
1998-01-01 1998-12-31,0,0,0,0,0,0,0
1999-01-01 1999-12-31,0,0,0,0,0,0,0
2000-01-01 2000-12-31,0,0,0,0,0,0,0
2001-01-01 2001-12-31,0,0,0,0,0,0,0
2002-01-01 2002-12-31,0,0,0,0,0,0,0
2003-01-01 2003-12-31,0,0,0,0,0,0,0
2004-01-01 2004-12-31,0,0,0,0,0,0,0
2005-01-01 2005-12-31,0,0,0,0,0,0,0
2006-01-01 2006-12-31,0,0,0,0,0,0,0
2007-01-01 2007-12-31,0,0,0,0,0,0,0
2008-01-01 2008-12-31,0,0,0,0,0,0,0
2009-01-01 2009-12-31,0,0,0,0,0,0,0
